구분,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,
인천,연수구,,,,,,,,,,,,,,,,,,,,,,,,,,,,906,3.8(0.6),4.0(0.7),902,3.3(0.7),3.4(0.7),901,3.3(0.6),3.2(0.6),905,2.7(0.5),2.8(0.6),904,2.7(0.6),2.4(0.5),902,2.4(0.5),2.4(0.5),900,3.9(0.7),4.4(0.8),904,3.0(0.6),3.1(0.7)
인천,옹진군,,,,,,,,,,,,,,,,,,,,,,,,,,,,866,3.9(1.0),3.4(1.1)*,867,3.0(0.9),3.0(1.0)*,866,3.2(0.7),2.9(1.0),868,3.3(0.6),3.1(0.9),867,2.3(0.6),2.7(0.9),872,3.7(0.7),4.1(1.1),872,2.7(0.7),3.0(1.0)*,868,3.3(0.8),3.8(1.1)
인천,중구,,,,,,,,,,,,,,,,,,,,,,,,,,,,899,1.4(0.4),1.3(0.4)*,897,4.8(0.8),4.2(0.8),897,5.2(0.8),5.0(0.9),891,3.0(0.6),3.1(0.7),893,5.3(0.9),5.1(0.8),900,7.6(1.0),7.6(1.2),901,7.3(1.0),7.0(1.0),900,5.5(1.0),5.3(0.9)
광주,광산구,,,,,,,,,,,,,,,,,,,,,,,,,,,,918,5.6(0.9),5.7(0.7),914,3.7(0.6),3.7(0.6),908,4.4(0.7),4.3(0.6),918,2.5(0.5),2.5(0.5),924,5.3(0.7),5.5(0.7),914,2.7(0.5),2.8(0.5),914,5.6(0.8),5.6(0.8),915,2.5(0.5),2.4(0.5)
광주,남구,,,,,,,,,,,,,,,,,,,,,,,,,,,,914,2.6(0.5),2.6(0.6),914,2.8(0.5),2.7(0.6),910,2.5(0.7),3.0(0.8)*,931,3.3(0.6),3.4(0.7),919,3.0(0.5),3.0(0.5),913,4.4(0.9),4.2(0.8),913,4.1(0.7),3.7(0.7),914,3.2(0.6),2.2(0.5)
광주,동구,,,,,,,,,,,,,,,,,,,,,,,,,,,,912,6.4(0.9),5.8(0.8),909,5.9(0.9),5.1(0.8),905,2.6(0.5),2.4(0.6),911,4.5(0.9),3.5(0.7),917,3.2(0.6),2.4(0.6),910,4.8(0.7),4.4(0.8),910,1.9(0.5),1.4(0.4)*,910,1.4(0.4),1.5(0.5)*
광주,북구,,,,,,,,,,,,,,,,,,,,,,,,,,,,916,4.7(0.8),4.8(0.7),914,3.0(0.6),2.8(0.5),914,3.3(0.5),3.6(0.6),916,3.1(0.5),2.9(0.5),918,4.1(0.7),3.6(0.6),914,3.2(0.5),3.3(0.5),915,4.8(0.6),4.3(0.5),914,5.4(0.7),4.5(0.6)
광주,서구,,,,,,,,,,,,,,,,,,,,,,,,,,,,919,2.7(0.5),2.6(0.5),913,3.2(0.7),3.1(0.6),914,1.2(0.3),1.4(0.3),931,2.2(0.3),1.9(0.3),924,1.8(0.4),2.0(0.5),913,4.9(0.8),4.6(0.8),914,4.1(0.6),4.0(0.7),913,2.9(0.6),2.4(0.5)
대전,대덕구,,,,,,,,,,,,,,,,,,,,,,,,,,,,917,3.2(0.6),3.3(0.7),910,2.3(0.7),2.2(0.5)*,913,2.7(0.6),2.6(0.6),912,2.2(0.6),2.6(0.6)*,916,4.4(0.8),4.2(0.7),915,4.6(0.8),4.4(0.8),914,1.5(0.3),1.3(0.4),919,3.1(0.7),2.7(0.6)
대전,동구,,,,,,,,,,,,,,,,,,,,,,,,,,,,915,4.1(0.7),3.7(0.7),914,2.3(0.5),2.0(0.6),913,1.6(0.9),1.8(0.6)**,915,0.7(0.3),0.7(0.3)*,928,1.8(0.5),2.2(0.5)*,920,3.2(0.6),3.2(0.7),917,3.5(0.7),4.0(0.9),916,2.1(0.5),1.5(0.4)
